Timestamp, Event, Event Data
5:15:20.622 PM 8/28/2022, Boiler Initilized, 0, 
5:15:23.284 PM 8/28/2022, Boiler Ready, 0, 
5:15:24.105 PM 8/28/2022, Start Pre-Purge, 0.05, 
5:15:24.155 PM 8/28/2022, Start Pre-Purge, 0.10, 
5:15:24.205 PM 8/28/2022, Start Pre-Purge, 0.15, 
5:15:24.254 PM 8/28/2022, Start Pre-Purge, 0.20, 
5:15:24.304 PM 8/28/2022, Start Pre-Purge, 0.25, 
5:15:24.354 PM 8/28/2022, Start Pre-Purge, 0.30, 
5:15:24.405 PM 8/28/2022, Start Pre-Purge, 0.35, 
5:15:24.455 PM 8/28/2022, Start Pre-Purge, 0.40, 
5:15:24.506 PM 8/28/2022, Start Pre-Purge, 0.45, 
5:15:24.556 PM 8/28/2022, Start Pre-Purge, 0.50, 
5:15:24.607 PM 8/28/2022, Start Pre-Purge, 0.55, 
5:15:24.657 PM 8/28/2022, Start Pre-Purge, 0.60, 
5:15:24.708 PM 8/28/2022, Start Pre-Purge, 0.65, 
5:15:24.758 PM 8/28/2022, Start Pre-Purge, 0.70, 
5:15:24.809 PM 8/28/2022, Start Pre-Purge, 0.76, 
5:15:24.860 PM 8/28/2022, Start Pre-Purge, 0.81, 
5:15:24.911 PM 8/28/2022, Start Pre-Purge, 0.86, 
5:15:24.961 PM 8/28/2022, Start Pre-Purge, 0.91, 
5:15:25.012 PM 8/28/2022, Start Pre-Purge, 0.96, 
5:15:25.062 PM 8/28/2022, Start Pre-Purge, 1.01, 
5:15:25.112 PM 8/28/2022, Start Pre-Purge, 1.06, 
5:15:25.162 PM 8/28/2022, Start Pre-Purge, 1.11, 
5:15:25.212 PM 8/28/2022, Start Pre-Purge, 1.16, 
5:15:25.262 PM 8/28/2022, Start Pre-Purge, 1.21, 
5:15:25.312 PM 8/28/2022, Start Pre-Purge, 1.26, 
5:15:25.362 PM 8/28/2022, Start Pre-Purge, 1.31, 
5:15:25.412 PM 8/28/2022, Start Pre-Purge, 1.36, 
5:15:25.462 PM 8/28/2022, Start Pre-Purge, 1.41, 
5:15:25.512 PM 8/28/2022, Start Pre-Purge, 1.46, 
5:15:25.562 PM 8/28/2022, Start Pre-Purge, 1.51, 
5:15:25.612 PM 8/28/2022, Start Pre-Purge, 1.56, 
5:15:25.662 PM 8/28/2022, Start Pre-Purge, 1.61, 
5:15:25.712 PM 8/28/2022, Start Pre-Purge, 1.66, 
5:15:25.762 PM 8/28/2022, Start Pre-Purge, 1.71, 
5:15:25.812 PM 8/28/2022, Start Pre-Purge, 1.76, 
5:15:25.862 PM 8/28/2022, Start Pre-Purge, 1.81, 
5:15:25.912 PM 8/28/2022, Start Pre-Purge, 1.86, 
5:15:25.962 PM 8/28/2022, Start Pre-Purge, 1.91, 
5:15:26.012 PM 8/28/2022, Start Pre-Purge, 1.96, 
5:15:26.062 PM 8/28/2022, Start Pre-Purge, 2.01, 
5:15:26.112 PM 8/28/2022, Start Pre-Purge, 2.06, 
5:15:26.162 PM 8/28/2022, Start Pre-Purge, 2.11, 
5:15:26.212 PM 8/28/2022, Start Pre-Purge, 2.16, 
5:15:26.262 PM 8/28/2022, Start Pre-Purge, 2.21, 
5:15:26.313 PM 8/28/2022, Start Pre-Purge, 2.26, 
5:15:26.363 PM 8/28/2022, Start Pre-Purge, 2.31, 
5:15:26.413 PM 8/28/2022, Start Pre-Purge, 2.36, 
5:15:26.463 PM 8/28/2022, Start Pre-Purge, 2.41, 
5:15:26.513 PM 8/28/2022, Start Pre-Purge, 2.46, 
5:15:26.563 PM 8/28/2022, Start Pre-Purge, 2.51, 
5:15:26.613 PM 8/28/2022, Start Pre-Purge, 2.56, 
5:15:26.663 PM 8/28/2022, Start Pre-Purge, 2.61, 
5:15:26.713 PM 8/28/2022, Start Pre-Purge, 2.66, 
5:15:26.763 PM 8/28/2022, Start Pre-Purge, 2.71, 
5:15:26.813 PM 8/28/2022, Start Pre-Purge, 2.76, 
5:15:26.863 PM 8/28/2022, Start Pre-Purge, 2.81, 
5:15:26.913 PM 8/28/2022, Start Pre-Purge, 2.86, 
5:15:26.963 PM 8/28/2022, Start Pre-Purge, 2.91, 
5:15:27.013 PM 8/28/2022, Start Pre-Purge, 2.96, 
5:15:27.063 PM 8/28/2022, Start Pre-Purge, 3.01, 
5:15:27.113 PM 8/28/2022, Pre-Purge Complete, 3.01, 
